date,name,pos_percentage,voters_count,url
1985-06-01,Rogue,97.0,221.0,https://store.steampowered.com/app/1443430/Rogue/?snr=1_7_7_240_150_23
1986-07-01,Temple of Apshai Trilogy,,,https://store.steampowered.com/app/1436930/Temple_of_Apshai_Trilogy/?snr=1_7_7_240_150_23
1990-04-14,BatMUD,87.0,100.0,https://store.steampowered.com/app/616920/BatMUD/?snr=1_7_7_240_150_56
1991-01-01,Planet's Edge,,,https://store.steampowered.com/app/1367170/Planets_Edge/?snr=1_7_7_240_150_12
1991-06-01,Lost Patrol,,,https://store.steampowered.com/app/1392750/Lost_Patrol/?snr=1_7_7_240_150_28
1993-01-01,The Legacy: Realm of Terror,,,https://store.steampowered.com/app/1257890/The_Legacy_Realm_of_Terror/?snr=1_7_7_240_150_25
1994-02-08,Xuan-Yuan Sword2,100.0,12.0,https://store.steampowered.com/app/1508740/XuanYuan_Sword2/?snr=1_7_7_240_150_11
1995-01-06,Xuan-Yuan Sword: Dance of the Maple Leaves,95.0,91.0,https://store.steampowered.com/app/1508750/XuanYuan_Sword_Dance_of_the_Maple_Leaves/?snr=1_7_7_240_150_11
1996-05-31,Sea Legends,,,https://store.steampowered.com/app/1373770/Sea_Legends/?snr=1_7_7_240_150_25
1997-09-30,Have a N.I.C.E day!,,,https://store.steampowered.com/app/844940/Have_a_NICE_day/?snr=1_7_7_240_150_43
1999-01-07,The 4th Coming,64.0,34.0,https://store.steampowered.com/app/523750/The_4th_Coming/?snr=1_7_7_240_150_56
1999-03-15,PSweet,,,https://store.steampowered.com/app/1463960/PSweet/?snr=1_7_7_240_150_6
2003-01-01,Sword And Fairy 2,88.0,269.0,https://store.steampowered.com/app/1538460/Sword_And_Fairy_2/?snr=1_7_7_240_150_3
2004-07-04,[Neolithic]To the End,,,https://store.steampowered.com/app/1519140/NeolithicTo_the_End/?snr=1_7_7_240_150_5
2004-08-06,Sword and Fairy 3 Ex,74.0,83.0,https://store.steampowered.com/app/1536080/Sword_and_Fairy_3_Ex/?snr=1_7_7_240_150_3
2006-03-10,鋼鉄戦記C21,60.0,74.0,https://store.steampowered.com/app/1266560/C21/?snr=1_7_7_240_150_24
2006-03-31,Breath of Fire II Sound Collection,,,https://store.steampowered.com/app/1335080/Breath_of_Fire_II_Sound_Collection/?snr=1_7_7_240_150_35
2006-03-31,Breath of Fire Sound Collection,,,https://store.steampowered.com/app/1335070/Breath_of_Fire_Sound_Collection/?snr=1_7_7_240_150_35
2007-01-01,Company of Heroes: Europe in Ruins,75.0,40.0,https://store.steampowered.com/app/664260/Company_of_Heroes_Europe_in_Ruins/?snr=1_7_7_240_150_37
2008-05-16,X-Team,,,https://store.steampowered.com/app/290850/XTeam/?snr=1_7_7_240_150_54
2008-12-01,CosmicBreak Universal,62.0,845.0,https://store.steampowered.com/app/1140620/CosmicBreak_Universal/?snr=1_7_7_240_150_4
2009-01-01,Kicks Online,78.0,198.0,https://store.steampowered.com/app/1255970/Kicks_Online/?snr=1_7_7_240_150_44
2009-04-10,Ultimo Reino,34.0,23.0,https://store.steampowered.com/app/974520/Ultimo_Reino/?snr=1_7_7_240_150_49
2010-06-10,Nehrim: At Fate's Edge,76.0,13.0,https://store.steampowered.com/app/1014940/Nehrim_At_Fates_Edge/?snr=1_7_7_240_150_37
2010-07-06,MARDEK,97.0,143.0,https://store.steampowered.com/app/1302990/MARDEK/?snr=1_7_7_240_150_38
2010-12-03,football girl,73.0,19.0,https://store.steampowered.com/app/1476920/football_girl/?snr=1_7_7_240_150_18
2011-03-08,Dragon Age II,88.0,43.0,https://store.steampowered.com/app/1238040/Dragon_Age_II/?snr=1_7_7_240_150_37
2011-03-11,Pioneerz,,,https://store.steampowered.com/app/1213070/Pioneerz/?snr=1_7_7_240_150_49
2011-12-20,STAR WARS™: The Old Republic™,89.0,1244.0,https://store.steampowered.com/app/1286830/STAR_WARS_The_Old_Republic/?snr=1_7_7_240_150_33
2012-03-06,Mass Effect™ 3 N7 Digital Deluxe Edition (2012),77.0,45.0,https://store.steampowered.com/app/1238020/Mass_Effect_3_N7_Digital_Deluxe_Edition_2012/?snr=1_7_7_240_150_37
2012-08-31,Way Walkers: University,,,https://store.steampowered.com/app/1419190/Way_Walkers_University/?snr=1_7_7_240_150_23
2012-08-31,Way Walkers: University,,,https://store.steampowered.com/app/1419190/Way_Walkers_University/?snr=1_7_7_240_150_23
2012-12-12,Wurm Online,47.0,21.0,https://store.steampowered.com/app/1179680/Wurm_Online/?snr=1_7_7_240_150_33
2013-02-22,Old School RuneScape,92.0,415.0,https://store.steampowered.com/app/1343370/Old_School_RuneScape/?snr=1_7_7_240_150_10
2013-03-08,Duck Life,91.0,34.0,https://store.steampowered.com/app/1461200/Duck_Life/?snr=1_7_7_240_150_19
2013-08-26,Choice of the Vampire: The Fall of Memphis,,,https://store.steampowered.com/app/1437330/Choice_of_the_Vampire_The_Fall_of_Memphis/?snr=1_7_7_240_150_24
