,date,name,pos_percentage,voters_count,url
0,1985-06-01,Rogue,97.0,221.0,https://store.steampowered.com/app/1443430/Rogue/?snr=1_7_7_240_150_23
1,1986-01-01,Annals of Rome,,,https://store.steampowered.com/app/1148670/Annals_of_Rome/?snr=1_7_7_240_150_60
2,1986-12-01,Psi 5 Trading Company,,,https://store.steampowered.com/app/1357550/Psi_5_Trading_Company/?snr=1_7_7_240_150_26
3,1987-01-01,Sorcerer Lord,,,https://store.steampowered.com/app/1150670/Sorcerer_Lord/?snr=1_7_7_240_150_60
4,1988-06-01,Impossible Mission II,,,https://store.steampowered.com/app/1400680/Impossible_Mission_II/?snr=1_7_7_240_150_28
5,1989-01-01,Search for the Titanic,,,https://store.steampowered.com/app/1568450/Search_for_the_Titanic/?snr=1_7_7_240_150_5
6,1990-01-01,World Championship Boxing Manager™,78.0,14.0,https://store.steampowered.com/app/1254860/World_Championship_Boxing_Manager/?snr=1_7_7_240_150_41
7,1990-01-01,Sands of Fire,,,https://store.steampowered.com/app/1568440/Sands_of_Fire/?snr=1_7_7_240_150_5
8,1990-01-01,F29 Retaliator,,,https://store.steampowered.com/app/1302270/F29_Retaliator/?snr=1_7_7_240_150_35
9,1990-01-01,Betrayal,,,https://store.steampowered.com/app/1233020/Betrayal/?snr=1_7_7_240_150_46
10,1990-06-01,Battle Command,,,https://store.steampowered.com/app/1393960/Battle_Command/?snr=1_7_7_240_150_29
11,1993-01-01,Discoveries of the Deep,,,https://store.steampowered.com/app/1568430/Discoveries_of_the_Deep/?snr=1_7_7_240_150_5
12,1993-01-01,Timequest,,,https://store.steampowered.com/app/1297560/Timequest/?snr=1_7_7_240_150_21
13,1993-05-01,Fields of Glory,,,https://store.steampowered.com/app/1237800/Fields_of_Glory/?snr=1_7_7_240_150_42
14,1994-06-01,Battle Bugs,,,https://store.steampowered.com/app/1462210/Battle_Bugs/?snr=1_7_7_240_150_19
15,1994-09-01,Master of Magic,95.0,22.0,https://store.steampowered.com/app/1146370/Master_of_Magic/?snr=1_7_7_240_150_47
16,1995-01-01,Machiavelli the Prince,,,https://store.steampowered.com/app/1297570/Machiavelli_the_Prince/?snr=1_7_7_240_150_21
17,1995-01-01,Space Empires II,,,https://store.steampowered.com/app/1430140/Space_Empires_II/?snr=1_7_7_240_150_24
18,1995-01-01,Space Empires I,,,https://store.steampowered.com/app/1425110/Space_Empires_I/?snr=1_7_7_240_150_24
19,1996-05-31,Sea Legends,,,https://store.steampowered.com/app/1373770/Sea_Legends/?snr=1_7_7_240_150_26
20,1997-10-14,Krush Kill 'N Destroy Xtreme,82.0,70.0,https://store.steampowered.com/app/1292170/Krush_Kill_N_Destroy_Xtreme/?snr=1_7_7_240_150_33
21,1997-12-30,Combat Chess,,,https://store.steampowered.com/app/1557050/Combat_Chess/?snr=1_7_7_240_150_10
23,1998-07-21,Alien Earth,,,https://store.steampowered.com/app/1148390/Alien_Earth/?snr=1_7_7_240_150_10
22,1998-10-31,Krush Kill ‘N Destroy 2: Krossfire,78.0,112.0,https://store.steampowered.com/app/1292180/Krush_Kill_N_Destroy_2_Krossfire/?snr=1_7_7_240_150_33
24,1999-01-07,The 4th Coming,64.0,34.0,https://store.steampowered.com/app/523750/The_4th_Coming/?snr=1_7_7_240_150_55
25,1999-04-10,Warzone 2100,92.0,14.0,https://store.steampowered.com/app/1241950/Warzone_2100/?snr=1_7_7_240_150_48
26,2000-03-30,Gunlok,,,https://store.steampowered.com/app/254900/Gunlok/?snr=1_7_7_240_150_54
27,2000-08-16,Squares,,,https://store.steampowered.com/app/1287180/Squares/?snr=1_7_7_240_150_40
28,2002-11-11,Deadly Dozen: Pacific Theater,91.0,12.0,https://store.steampowered.com/app/1267930/Deadly_Dozen_Pacific_Theater/?snr=1_7_7_240_150_18
29,2003-07-23,Nexagon: Deathmatch,,,https://store.steampowered.com/app/1329810/Nexagon_Deathmatch/?snr=1_7_7_240_150_38
