date,name,pos_percentage,voters_count,url
1985-6-1,Rogue,97,221,https://store.steampowered.com/app/1443430/Rogue/?snr=1_7_7_240_150_23
1986-1-1,Annals of Rome,,,https://store.steampowered.com/app/1148670/Annals_of_Rome/?snr=1_7_7_240_150_60
1986-12-1,Psi 5 Trading Company,,,https://store.steampowered.com/app/1357550/Psi_5_Trading_Company/?snr=1_7_7_240_150_26
1987-1-1,Sorcerer Lord,,,https://store.steampowered.com/app/1150670/Sorcerer_Lord/?snr=1_7_7_240_150_60
1988-6-1,Impossible Mission II,,,https://store.steampowered.com/app/1400680/Impossible_Mission_II/?snr=1_7_7_240_150_28
1989-1-1,Search for the Titanic,,,https://store.steampowered.com/app/1568450/Search_for_the_Titanic/?snr=1_7_7_240_150_5
1990-1-1,World Championship Boxing Manager™,78,14,https://store.steampowered.com/app/1254860/World_Championship_Boxing_Manager/?snr=1_7_7_240_150_41
1990-1-1,Sands of Fire,,,https://store.steampowered.com/app/1568440/Sands_of_Fire/?snr=1_7_7_240_150_5
1990-1-1,F29 Retaliator,,,https://store.steampowered.com/app/1302270/F29_Retaliator/?snr=1_7_7_240_150_35
1990-1-1,Betrayal,,,https://store.steampowered.com/app/1233020/Betrayal/?snr=1_7_7_240_150_46
1990-6-1,Battle Command,,,https://store.steampowered.com/app/1393960/Battle_Command/?snr=1_7_7_240_150_29
1993-1-1,Discoveries of the Deep,,,https://store.steampowered.com/app/1568430/Discoveries_of_the_Deep/?snr=1_7_7_240_150_5
1993-1-1,Timequest,,,https://store.steampowered.com/app/1297560/Timequest/?snr=1_7_7_240_150_21
1993-5-1,Fields of Glory,,,https://store.steampowered.com/app/1237800/Fields_of_Glory/?snr=1_7_7_240_150_42
1994-6-1,Battle Bugs,,,https://store.steampowered.com/app/1462210/Battle_Bugs/?snr=1_7_7_240_150_19
1994-9-1,Master of Magic,95,22,https://store.steampowered.com/app/1146370/Master_of_Magic/?snr=1_7_7_240_150_47
1995-1-1,Machiavelli the Prince,,,https://store.steampowered.com/app/1297570/Machiavelli_the_Prince/?snr=1_7_7_240_150_21
1995-1-1,Space Empires II,,,https://store.steampowered.com/app/1430140/Space_Empires_II/?snr=1_7_7_240_150_24
1995-1-1,Space Empires I,,,https://store.steampowered.com/app/1425110/Space_Empires_I/?snr=1_7_7_240_150_24
1996-5-31,Sea Legends,,,https://store.steampowered.com/app/1373770/Sea_Legends/?snr=1_7_7_240_150_26
1997-10-14,Krush Kill 'N Destroy Xtreme,82,70,https://store.steampowered.com/app/1292170/Krush_Kill_N_Destroy_Xtreme/?snr=1_7_7_240_150_33
1997-12-30,Combat Chess,,,https://store.steampowered.com/app/1557050/Combat_Chess/?snr=1_7_7_240_150_10
1998-10-31,Krush Kill ‘N Destroy 2: Krossfire,78,112,https://store.steampowered.com/app/1292180/Krush_Kill_N_Destroy_2_Krossfire/?snr=1_7_7_240_150_33
